Neighborhood,Count
Inner Sunset,"46785"
Marina,"49704"
Pacific Heights,"52576"
Potrero Hill,"52577"
Bernal Heights,"58966"
Chinatown,"62080"
North Beach,"65688"
West of Twin Peaks,"68191"
Excelsior,"70328"
Hayes Valley,"75184"
Castro/Upper Market,"76485"
Outer Richmond,"87228"
Nob Hill,"99075"
Western Addition,"115684"
Sunset/Parkside,"134577"
Bayview Hunters Point,"167700"
Financial District/South Beach,"184577"
Mission,"305177"
South of Market,"344669"
Tenderloin,"488642"
