Neighborhood,Count
Chinatown,2651
Inner Sunset,2914
North Beach,3078
Pacific Heights,3474
Marina,3632
Potrero Hill,3760
Excelsior,3862
Castro/Upper Market,4479
Nob Hill,4937
Outer Richmond,5683
West of Twin Peaks,5932
Bernal Heights,6445
Western Addition,6509
Hayes Valley,6768
Sunset/Parkside,8910
Tenderloin,10784
Bayview Hunters Point,11337
Financial District/South Beach,14918
South of Market,16716
Mission,20589
